City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
47,tura,25.52,90.22,64.89,68,0,3.38,IN,1579187750
48,atuona,-9.8,-139.03,80.58,76,95,20.29,PF,1579187207
49,georgetown,5.41,100.34,84.2,74,20,1.12,MY,1579187199
50,atuona,-9.8,-139.03,80.58,76,95,20.29,PF,1579187207
51,kaitangata,-46.28,169.85,54.05,89,0,8.12,NZ,1579187206
52,fortuna,40.6,-124.16,42.01,86,90,5.21,US,1579187235
53,tuktoyaktuk,69.45,-133.04,-0.4,84,90,9.17,CA,1579187197
54,san cristobal,7.77,-72.22,82.4,61,40,2.24,VE,1579187752
55,avarua,-21.21,-159.78,78.8,88,100,12.75,CK,1579187195
56,san quintin,30.48,-115.95,35.01,10,100,8.99,MX,1579187752
57,sao bras de alportel,37.15,-7.89,66.0,77,20,12.75,PT,1579187752
58,namibe,-15.2,12.15,76.19,89,48,13.62,AO,1579187214
59,wanxian,30.8,108.39,41.81,71,0,1.32,CN,1579187753
60,ulladulla,-35.35,150.47,66.99,100,90,16.11,AU,1579187753
61,busselton,-33.65,115.33,72.0,43,2,14.43,AU,1579187197
62,necochea,-38.55,-58.74,70.0,44,0,23.0,AR,1579187647
63,denia,38.84,0.11,63.0,72,0,3.0,ES,1579187754
64,kaitangata,-46.28,169.85,54.05,89,0,8.12,NZ,1579187206
65,bulgan,48.81,103.53,0.39,81,66,4.74,MN,1579187754
66,arraial do cabo,-22.97,-42.03,87.8,62,75,16.11,BR,1579187096
67,bredasdorp,-34.53,20.04,82.4,58,15,12.75,ZA,1579187238
68,vaini,-21.2,-175.2,80.6,88,75,6.93,TO,1579187190
69,lompoc,34.64,-120.46,46.99,100,90,6.55,US,1579187194
70,hilo,19.73,-155.09,69.8,83,90,1.86,US,1579187178
71,qaanaaq,77.48,-69.36,-17.41,50,0,6.13,GL,1579187193
72,lompoc,34.64,-120.46,46.99,100,90,6.55,US,1579187194
73,jamestown,42.1,-79.24,34.0,80,90,19.46,US,1579186926
74,cam ranh,11.92,109.16,77.0,83,20,11.41,VN,1579187723
75,changli,39.7,119.15,25.02,70,100,0.83,CN,1579187756
